payment_id,lease_id,due_date,payment_date,payment_amount,payment_status,payment_method,failure_reason
PY00000001,LS00000004,2023-02-14,2023-02-14,1220,on_time,credit_card,
PY00000002,LS00000004,2023-03-16,2023-03-16,1220,on_time,ach,
PY00000003,LS00000004,2023-04-15,2023-04-15,1220,on_time,ach,
PY00000004,LS00000004,2023-05-15,2023-05-15,1220,on_time,ach,
PY00000005,LS00000004,2023-06-14,2023-06-14,1220,on_time,debit_card,
PY00000006,LS00000004,2023-07-14,2023-07-14,1220,on_time,ach,
PY00000007,LS00000004,2023-08-13,2023-08-13,1220,on_time,credit_card,
PY00000008,LS00000004,2023-09-12,2023-09-12,1220,on_time,ach,
PY00000009,LS00000004,2023-10-12,2023-10-12,1220,on_time,debit_card,
PY00000010,LS00000004,2023-11-11,2023-11-11,1220,on_time,ach,
PY00000011,LS00000004,2023-12-11,,1220,failed,ach,card_declined
PY00000012,LS00000004,2024-01-10,2024-01-10,1220,on_time,ach,
PY00000013,LS00000004,2024-02-09,2024-02-09,1220,on_time,ach,
PY00000014,LS00000004,2024-03-10,2024-03-10,1220,on_time,debit_card,
PY00000015,LS00000004,2024-04-09,2024-04-10,1220,late,debit_card,
PY00000016,LS00000004,2024-05-09,2024-05-09,1220,on_time,ach,
PY00000017,LS00000004,2024-06-08,2024-06-08,1220,on_time,ach,
PY00000018,LS00000004,2024-07-08,2024-07-09,1220,late,credit_card,
PY00000019,LS00000004,2024-08-07,2024-08-07,1220,on_time,credit_card,
PY00000020,LS00000004,2024-09-06,2024-09-06,1220,on_time,ach,
PY00000021,LS00000004,2024-10-06,,1220,failed,ach,insufficient_funds
PY00000022,LS00000005,2023-03-14,,2077,failed,ach,card_declined
PY00000023,LS00000005,2023-04-13,2023-04-13,2077,on_time,credit_card,
PY00000024,LS00000005,2023-05-13,2023-05-13,2077,on_time,ach,
PY00000025,LS00000005,2023-06-12,2023-06-12,2077,on_time,ach,
PY00000026,LS00000005,2023-07-12,2023-07-12,2077,on_time,credit_card,
PY00000027,LS00000005,2023-08-11,2023-08-11,2077,on_time,credit_card,
PY00000028,LS00000005,2023-09-10,2023-09-17,2077,late,ach,
PY00000029,LS00000005,2023-10-10,2023-10-10,2077,on_time,ach,
PY00000030,LS00000005,2023-11-09,2023-11-19,2077,late,ach,
PY00000031,LS00000005,2023-12-09,2023-12-18,2077,late,credit_card,
PY00000032,LS00000005,2024-01-08,2024-01-08,2077,on_time,credit_card,
PY00000033,LS00000005,2024-02-07,2024-02-07,2077,on_time,credit_card,
PY00000034,LS00000005,2024-03-08,2024-03-08,2077,on_time,ach,
PY00000035,LS00000005,2024-04-07,2024-04-07,2077,on_time,ach,
PY00000036,LS00000005,2024-05-07,2024-05-07,2077,on_time,ach,
PY00000037,LS00000006,2023-02-17,2023-02-17,2077,on_time,ach,
PY00000038,LS00000006,2023-03-19,2023-03-19,2077,on_time,ach,
PY00000039,LS00000006,2023-04-18,2023-04-18,2077,on_time,debit_card,
PY00000040,LS00000006,2023-05-18,2023-05-18,2077,on_time,debit_card,
PY00000041,LS00000007,2023-03-01,2023-03-01,2077,on_time,credit_card,
PY00000042,LS00000007,2023-03-31,2023-03-31,2077,on_time,ach,
PY00000043,LS00000007,2023-04-30,2023-04-30,2077,on_time,credit_card,
PY00000044,LS00000007,2023-05-30,2023-05-30,2077,on_time,ach,
PY00000045,LS00000007,2023-06-29,2023-06-29,2077,on_time,ach,
PY00000046,LS00000007,2023-07-29,2023-07-29,2077,on_time,credit_card,
PY00000047,LS00000007,2023-08-28,2023-08-28,2077,on_time,credit_card,
PY00000048,LS00000007,2023-09-27,2023-09-27,2077,on_time,ach,
PY00000049,LS00000007,2023-10-27,2023-10-27,2077,on_time,credit_card,
PY00000050,LS00000007,2023-11-26,2023-11-26,2077,on_time,credit_card,
